operator_name,input_shapes,input_dtypes,presence,left_mapping_statuses,right_mapping_statuses,left_kernel_type_count,right_kernel_type_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_C::cooperative_topk,"[[1,8192],[1,1],[1,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,21,114.08,105.731,0.000884,0.000816,-6.8e-05
_C::cooperative_topk,"[[10,8192],[10,1],[10,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,21,104.931,104.835,0.000813,0.000809,-4e-06
_C::cooperative_topk,"[[12,8192],[12,1],[12,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,21,106.211,103.622,0.000823,0.0008,-2.3e-05
_C::cooperative_topk,"[[14,8192],[14,1],[14,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,21,106.114,104.737,0.000822,0.000808,-1.4e-05
_C::cooperative_topk,"[[16,8192],[16,1],[16,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,21,105.856,104.896,0.00082,0.00081,-1e-05
_C::cooperative_topk,"[[18,8192],[18,1],[18,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,21,107.235,105.027,0.000831,0.000811,-2e-05
_C::cooperative_topk,"[[20,8192],[20,1],[20,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,21,108.579,105.793,0.000841,0.000817,-2.5e-05
_C::cooperative_topk,"[[22,8192],[22,1],[22,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,21,105.544,106.336,0.000818,0.000821,3e-06
_C::cooperative_topk,"[[24,8192],[24,1],[24,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,21,105.6,105.539,0.000818,0.000815,-3e-06
_C::cooperative_topk,"[[26,8192],[26,1],[26,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,21,107.646,107.873,0.000834,0.000833,-1e-06
_C::cooperative_topk,"[[28,8192],[28,1],[28,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,21,108.069,106.304,0.000837,0.00082,-1.7e-05
_C::cooperative_topk,"[[3,8192],[3,1],[3,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,21,114.368,112.0,0.000886,0.000864,-2.2e-05
_C::cooperative_topk,"[[30,8192],[30,1],[30,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,21,105.668,106.307,0.000819,0.000821,2e-06
_C::cooperative_topk,"[[32,8192],[32,1],[32,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,21,106.885,105.99,0.000828,0.000818,-1e-05
_C::cooperative_topk,"[[4,8192],[4,1],[4,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,21,110.275,108.77,0.000854,0.00084,-1.5e-05
_C::cooperative_topk,"[[6,8192],[6,1],[6,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,21,111.716,110.754,0.000865,0.000855,-1.1e-05
_C::cooperative_topk,"[[8,8192],[8,1],[8,512],[1048576],[],[]]","[""float"",""int"",""int"",""unsigned char"",""Scalar"",""Scalar""]",both,"[""operator_shape_matched""]","[""operator_shape_matched""]",1,1,21,21,110.049,110.083,0.000853,0.00085,-3e-06
