operator_name,kernel_name,kernel_call_count,kernel_time_us,percent
RmsNorm,rms_norm_kernel,288,1822.661,0.015%
_C::cooperative_topk,void vllm::cooperative::cooperative_topk_cs4<512u>(vllm::cooperative::CooperativeTopKParams<512u>),504,2591.091,0.022%
_C::cooperative_topk,void vllm::cooperative::cooperative_topk_cs8<512u>(vllm::cooperative::CooperativeTopKParams<512u>),189,980.219,0.008%
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"void vllm::deepseek_v4_fused_ops::fusedDeepseekV4QNormRopeKVRopeQuantInsertKernelReducedGrid<c10::BFloat16, 64>(c10::BFloat16 const*, c10::BFloat16*, c10::BFloat16 const*, unsigned char*, long const*, long const*, float const*, float, int, int, int, int, int)",1419,324640.947,2.706%
_C::fused_deepseek_v4_qnorm_rope_kv_rope_quant_insert,"void vllm::deepseek_v4_fused_ops::fusedDeepseekV4QNormRopeKVRopeQuantInsertKernel<c10::BFloat16, 64>(c10::BFloat16 const*, c10::BFloat16*, c10::BFloat16 const*, unsigned char*, long const*, long const*, float const*, float, int, int, int, int, int)",10965,49973.908,0.417%
_C::per_token_group_fp8_quant,"void per_token_group_quant_8bit_kernel<c10::BFloat16, c10::Float8_e4m3fn, true, true, float>(c10::BFloat16 const*, void*, float*, int, int, int, float, float, float, int, int)",64428,446669.347,3.723%
_C::persistent_topk,"void vllm::filtered_topk::FilteredTopKUnifiedKernel<float, int, 4, 512u, false>(float const*, int*, int const*, unsigned int, unsigned int, unsigned int)",5334,27777.357,0.232%
_C::silu_and_mul_with_clamp,"void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &(c10::BFloat16 vllm::silu_kernel<c10::BFloat16>(c10::BFloat16 const&, float)), &(__nv_bfloat162 vllm::packed_silu_kernel<__nv_bfloat162>(__nv_bfloat162 const&, float)), true, true, true, false>(c10::BFloat16*, c10::BFloat16 const*, int, float, float, float)",12384,66758.88,0.556%
_C::top_k_per_row_prefill,"void vllm::topKPerRowPrefill<512, false>(float const*, int const*, int const*, int*, int, int, int, int)",693,45017.477,0.375%
_C_cache_ops::cp_gather_indexer_k_quant_cache,"void vllm::cp_gather_indexer_k_quant_cache_kernel<32>(char const*, char*, char*, int const*, int const*, int, long, long, long, long, long, int, int, int)",693,2464.248,0.021%
_C_custom_ar::all_reduce,"void vllm::cross_device_reduce_1stage<__nv_bfloat16, 8>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __nv_bfloat16*, int, int)",1305,24159.182,0.201%
