operator_name,kernel_name,variant_index,mapping_status,input_shapes,input_dtypes,candidate_operators,kernel_event_count,kernel_time_us
symm_mem::multimem_all_reduce_,"void (anonymous namespace)::multimem_all_reduce_kernel<c10::BFloat16, 16>(c10::BFloat16*, unsigned long, unsigned int**, unsigned long, unsigned long)",1,operator_shape_matched,"[[262144],[],[]]","[""c10::BFloat16"","""",""""]",null,19401,16283257.23
symm_mem::multimem_all_reduce_,"void (anonymous namespace)::multimem_all_reduce_kernel<c10::BFloat16, 16>(c10::BFloat16*, unsigned long, unsigned int**, unsigned long, unsigned long)",2,operator_shape_matched,"[[16777216],[],[]]","[""c10::BFloat16"","""",""""]",null,87,766506.969
symm_mem::multimem_all_reduce_,"void (anonymous namespace)::multimem_all_reduce_kernel<c10::BFloat16, 16>(c10::BFloat16*, unsigned long, unsigned int**, unsigned long, unsigned long)",3,operator_shape_matched,"[[33554432],[],[]]","[""c10::BFloat16"","""",""""]",null,2697,700848.046
symm_mem::multimem_all_reduce_,"void (anonymous namespace)::multimem_all_reduce_kernel<c10::BFloat16, 16>(c10::BFloat16*, unsigned long, unsigned int**, unsigned long, unsigned long)",4,operator_shape_matched,"[[258048],[],[]]","[""c10::BFloat16"","""",""""]",null,87,126250.812
symm_mem::multimem_all_reduce_,"void (anonymous namespace)::multimem_all_reduce_kernel<c10::BFloat16, 16>(c10::BFloat16*, unsigned long, unsigned int**, unsigned long, unsigned long)",5,operator_shape_matched,"[[253952],[],[]]","[""c10::BFloat16"","""",""""]",null,87,122210.024
symm_mem::multimem_all_reduce_,"void (anonymous namespace)::multimem_all_reduce_kernel<c10::BFloat16, 16>(c10::BFloat16*, unsigned long, unsigned int**, unsigned long, unsigned long)",6,operator_shape_matched,"[[237568],[],[]]","[""c10::BFloat16"","""",""""]",null,87,116161.003
symm_mem::multimem_all_reduce_,"void (anonymous namespace)::multimem_all_reduce_kernel<c10::BFloat16, 16>(c10::BFloat16*, unsigned long, unsigned int**, unsigned long, unsigned long)",7,operator_shape_matched,"[[180224],[],[]]","[""c10::BFloat16"","""",""""]",null,87,105735.763
symm_mem::multimem_all_reduce_,"void (anonymous namespace)::multimem_all_reduce_kernel<c10::BFloat16, 16>(c10::BFloat16*, unsigned long, unsigned int**, unsigned long, unsigned long)",8,operator_shape_matched,"[[229376],[],[]]","[""c10::BFloat16"","""",""""]",null,87,92717.412
symm_mem::multimem_all_reduce_,"void (anonymous namespace)::multimem_all_reduce_kernel<c10::BFloat16, 16>(c10::BFloat16*, unsigned long, unsigned int**, unsigned long, unsigned long)",9,operator_shape_matched,"[[155648],[],[]]","[""c10::BFloat16"","""",""""]",null,87,86514.648
symm_mem::multimem_all_reduce_,"void (anonymous namespace)::multimem_all_reduce_kernel<c10::BFloat16, 16>(c10::BFloat16*, unsigned long, unsigned int**, unsigned long, unsigned long)",10,operator_shape_matched,"[[204800],[],[]]","[""c10::BFloat16"","""",""""]",null,87,80308.215
