operator_name,kernel_name,variant_index,mapping_status,input_shapes,input_dtypes,candidate_operators,kernel_event_count,kernel_time_us
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>),1,operator_shape_matched,"[[8192,6144],[]]","[""c10::BFloat16"",""""]",null,3751,3583754.25
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>),2,operator_shape_matched,"[[4096,6144],[]]","[""c10::BFloat16"",""""]",null,121,69803.201
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>),3,operator_shape_matched,"[[5089,6144],[]]","[""c10::BFloat16"",""""]",null,121,69158.301
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>),4,operator_shape_matched,"[[18,6144],[]]","[""c10::BFloat16"",""""]",null,1,207.776
null,fused_moe_kernel,1,missing_external_id,null,null,null,29184,2026417.509
vllm::moe_forward_shared,fused_moe_kernel,2,operator_shape_matched,"[[8192,6144],[8192,128],[8192,6144],[],[],[]]","[""c10::BFloat16"",""float"",""c10::BFloat16"","""","""",""Scalar""]",null,3534,1416900.465
vllm::moe_forward_shared,fused_moe_kernel,3,operator_shape_matched,"[[5089,6144],[5089,128],[5089,6144],[],[],[]]","[""c10::BFloat16"",""float"",""c10::BFloat16"","""","""",""Scalar""]",null,114,33885.087
vllm::moe_forward_shared,fused_moe_kernel,4,operator_shape_matched,"[[4096,6144],[4096,128],[4096,6144],[],[],[]]","[""c10::BFloat16"",""float"",""c10::BFloat16"","""","""",""Scalar""]",null,114,31161.746
null,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),1,missing_external_id,null,null,null,30720,2390444.153
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),2,operator_shape_matched,"[[64,6144],[]]","[""c10::BFloat16"",""""]",null,222,17599.743
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),3,operator_shape_matched,"[[63,6144],[]]","[""c10::BFloat16"",""""]",null,2,165.441
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),4,operator_shape_matched,"[[56,6144],[]]","[""c10::BFloat16"",""""]",null,1,89.887
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),5,operator_shape_matched,"[[60,6144],[]]","[""c10::BFloat16"",""""]",null,1,89.216
