operator_name,kernel_name,variant_index,mapping_status,input_shapes,input_dtypes,candidate_operators,kernel_event_count,kernel_time_us
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>),1,operator_shape_matched,"[[8192,6144],[]]","[""c10::BFloat16"",""""]",null,3751,3561754.887
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>),2,operator_shape_matched,"[[5089,6144],[]]","[""c10::BFloat16"",""""]",null,121,71383.697
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>),3,operator_shape_matched,"[[4096,6144],[]]","[""c10::BFloat16"",""""]",null,121,66078.531
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>),4,operator_shape_matched,"[[18,6144],[]]","[""c10::BFloat16"",""""]",null,1,224.046
null,fused_moe_kernel,1,missing_external_id,null,null,null,29070,2034672.379
vllm::moe_forward_shared,fused_moe_kernel,2,operator_shape_matched,"[[8192,6144],[8192,128],[8192,6144],[],[],[]]","[""c10::BFloat16"",""float"",""c10::BFloat16"","""","""",""Scalar""]",null,3534,1334407.444
vllm::moe_forward_shared,fused_moe_kernel,3,operator_shape_matched,"[[5089,6144],[5089,128],[5089,6144],[],[],[]]","[""c10::BFloat16"",""float"",""c10::BFloat16"","""","""",""Scalar""]",null,114,32037.988
vllm::moe_forward_shared,fused_moe_kernel,4,operator_shape_matched,"[[4096,6144],[4096,128],[4096,6144],[],[],[]]","[""c10::BFloat16"",""float"",""c10::BFloat16"","""","""",""Scalar""]",null,114,29578.504
null,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),1,missing_external_id,null,null,null,30600,2066807.008
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),2,operator_shape_matched,"[[64,6144],[]]","[""c10::BFloat16"",""""]",null,223,43441.798
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),3,operator_shape_matched,"[[63,6144],[]]","[""c10::BFloat16"",""""]",null,1,1025.729
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),4,operator_shape_matched,"[[36,6144],[]]","[""c10::BFloat16"",""""]",null,1,211.476
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),5,operator_shape_matched,"[[6,6144],[]]","[""c10::BFloat16"",""""]",null,1,195.581
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),6,operator_shape_matched,"[[54,6144],[]]","[""c10::BFloat16"",""""]",null,1,68.0
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),7,operator_shape_matched,"[[44,6144],[]]","[""c10::BFloat16"",""""]",null,1,67.773
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),8,operator_shape_matched,"[[58,6144],[]]","[""c10::BFloat16"",""""]",null,1,66.784
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),9,operator_shape_matched,"[[48,6144],[]]","[""c10::BFloat16"",""""]",null,1,66.304
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),10,operator_shape_matched,"[[60,6144],[]]","[""c10::BFloat16"",""""]",null,1,65.952
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),11,operator_shape_matched,"[[62,6144],[]]","[""c10::BFloat16"",""""]",null,1,65.792
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),12,operator_shape_matched,"[[56,6144],[]]","[""c10::BFloat16"",""""]",null,1,65.632
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),13,operator_shape_matched,"[[50,6144],[]]","[""c10::BFloat16"",""""]",null,1,65.504
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),14,operator_shape_matched,"[[46,6144],[]]","[""c10::BFloat16"",""""]",null,1,65.374
vllm::all_reduce,ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKernelArgsStorage<4096ul>),15,operator_shape_matched,"[[52,6144],[]]","[""c10::BFloat16"",""""]",null,1,64.863
