kernel_name,total_call_count,total_time_us,profiling_time_ratio,profiling_time_pct
fused_moe_kernel,84560,6047886.273,0.3665286583290104,36.652865832901036
kernel_unified_attention,10570,1720590.598,0.10427540052032484,10.427540052032484
mm_kernel_general_host_tma,116270,1580234.494,0.09576919981395995,9.576919981395996
fused_recurrent_gated_delta_rule_packed_decode_kernel,30720,1379740.695,0.08361838879774952,8.361838879774952
"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 2, true, true>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)",42280,938419.635,0.05687238057066382,5.6872380570663825
"void (anonymous namespace)::two_shot_all_reduce_kernel_inplace<c10::BFloat16, 16, 2>(c10::BFloat16**, unsigned long, unsigned long, unsigned int**, unsigned long, unsigned long)",1353,552068.1,0.033457768692279434,3.3457768692279433
nvjet_tst_64x8_64x16_2x4_h_bz_TNT,81200,493726.333,0.02992199956273751,2.992199956273751
nvjet_tst_64x8_64x16_1x1_h_bz_TNT,40840,282308.055,0.01710911679946242,1.710911679946242
"void vllm::cross_device_reduce_1stage<__nv_bfloat16, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __nv_bfloat16*, int, int)",41984,226598.018,0.013732842148229486,1.3732842148229487
"void cutlass::device_kernel<flat::kernel::FlatKernelTmaWarpSpecializedDeltaRule<flat::collective::FlatMainloopTmaWarpSpecializedDeltaRule<cutlass::bfloat16_t, float, float, cute::tuple<cute::C<64>, cute::C<64>, cute::C<128> >, cute::tuple<long, cute::C<1>, int>, cute::tuple<long, cute::C<1>, int>, cute::tuple<long, cute::C<1>, int>, cute::tuple<long, cute::C<1>, int>, std::tuple<flat::kernel::Option<(flat::kernel::Tag)1, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)11, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)10, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)9, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)12, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)13, cute::C<false> > > >, flat::kernel::IndividualTileScheduler<flat::kernel::GVATag>, std::tuple<flat::kernel::Option<(flat::kernel::Tag)1, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)11, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)10, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)9, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)12, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)13, cute::C<false> > > > >(flat::kernel::FlatKernelTmaWarpSpecializedDeltaRule<flat::collective::FlatMainloopTmaWarpSpecializedDeltaRule<cutlass::bfloat16_t, float, float, cute::tuple<cute::C<64>, cute::C<64>, cute::C<128> >, cute::tuple<long, cute::C<1>, int>, cute::tuple<long, cute::C<1>, int>, cute::tuple<long, cute::C<1>, int>, cute::tuple<long, cute::C<1>, int>, std::tuple<flat::kernel::Option<(flat::kernel::Tag)1, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)11, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)10, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)9, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)12, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)13, cute::C<false> > > >, flat::kernel::IndividualTileScheduler<flat::kernel::GVATag>, std::tuple<flat::kernel::Option<(flat::kernel::Tag)1, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)11, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)10, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)9, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)12, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)13, cute::C<false> > > >::Params)",990,195936.686,0.011874629812010122,1.1874629812010122
topk_gating_softmax_kernel,42280,193652.215,0.011736180765049757,1.1736180765049757
nvjet_tst_320x64_64x4_2x1_v_bz_TNT,1000,182960.32,0.01108820463711891,1.108820463711891
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_3,31710,160548.345,0.009729939822529643,0.9729939822529643
nvjet_tst_64x32_64x16_4x2_h_bz_TNT,40280,150935.374,0.009147351261148193,0.9147351261148193
moe_align_block_size_stage2_vec,42080,142219.88,0.008619153775564532,0.8619153775564532
zeros_kernel,85480,130116.434,0.007885631413653936,0.7885631413653936
moe_align_block_size_stage4,42080,127482.284,0.007725990272641138,0.7725990272641138
triton_per_fused_1,31710,115385.362,0.0069928632939866096,0.699286329398661
triton_poi_fused_mul_silu_slice_0,42280,114890.372,0.006962864710614392,0.6962864710614391
mul_broadcast_2d_kernel,42280,108629.14,0.006583406357587478,0.6583406357587478
_causal_conv1d_update_kernel,30720,102345.863,0.006202611980054127,0.6202611980054127
memcpy32_post,81920,100772.961,0.006107287161808654,0.6107287161808653
moe_align_block_size_stage1,42080,98896.383,0.00599355823478494,0.599355823478494
moe_sum_kernel,40960,98079.018,0.005944022300527618,0.5944022300527618
triton_poi_fused_0,42280,90133.886,0.005462512159504024,0.5462512159504024
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),1057,89358.334,0.005415510277988257,0.5415510277988257
triton_poi_fused_add_4,31710,81033.242,0.004910972880377444,0.49109728803774444
sigmoid_forward_kernel_rank_1,42280,73035.892,0.004426298097590319,0.4426298097590319
argmax_kernel_inner,1057,72273.97,0.0043801222543609075,0.43801222543609075
triton_poi_fused__to_copy__unsafe_view_add_clone_linear_mean_mul_pow_rsqrt_silu_view_2,31710,62273.255,0.0037740346915631127,0.3774034691563113
_causal_conv1d_fwd_kernel,990,60891.638,0.0036903025903833467,0.3690302590383347
moe_align_block_size_stage3,42080,59775.198,0.0036226413882982987,0.3622641388298299
nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT,2520,56402.298,0.003418228729747317,0.3418228729747317
reduce_segments,10240,55476.385,0.0033621143065752945,0.33621143065752945
