operator_name,kernel_name,variant_index,mapping_status,input_shapes,input_dtypes,candidate_operators,kernel_event_count,kernel_time_us
null,fused_moe_kernel,1,missing_external_id,null,null,null,20480,1187979.796
vllm::moe_forward_shared,fused_moe_kernel,2,operator_shape_matched,"[[8192,2048],[8192,2048],[8192,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,2480,797129.701
vllm::moe_forward_shared,fused_moe_kernel,3,operator_shape_matched,"[[5089,2048],[5089,2048],[5089,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,18888.128
vllm::moe_forward_shared,fused_moe_kernel,4,operator_shape_matched,"[[4096,2048],[4096,2048],[4096,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,16496.813
vllm::flashinfer_trtllm_fused_allreduce_norm,"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 2, true, true>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)",1,operator_shape_matched,"[[8192,2048],[8192,2048],[2048],[],[],[],[],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"","""","""","""","""",""Scalar""]",null,1240,578046.681
vllm::flashinfer_trtllm_fused_allreduce_norm,"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 2, true, true>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)",2,operator_shape_matched,"[[4096,2048],[4096,2048],[2048],[],[],[],[],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"","""","""","""","""",""Scalar""]",null,40,149199.53
null,"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 2, true, true>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)",3,missing_external_id,null,null,null,10240,69745.56
vllm::flashinfer_trtllm_fused_allreduce_norm,"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 2, true, true>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)",4,operator_shape_matched,"[[5089,2048],[5089,2048],[2048],[],[],[],[],[],[],[],[],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"",""Scalar"","""","""","""","""",""Scalar""]",null,40,26880.97
symm_mem::two_shot_all_reduce_,"void (anonymous namespace)::two_shot_all_reduce_kernel_inplace<c10::BFloat16, 16, 2>(c10::BFloat16**, unsigned long, unsigned long, unsigned int**, unsigned long, unsigned long)",1,operator_shape_matched,"[[16777216],[],[]]","[""c10::BFloat16"","""",""""]",null,1271,461020.932
symm_mem::two_shot_all_reduce_,"void (anonymous namespace)::two_shot_all_reduce_kernel_inplace<c10::BFloat16, 16, 2>(c10::BFloat16**, unsigned long, unsigned long, unsigned int**, unsigned long, unsigned long)",2,operator_shape_matched,"[[8388608],[],[]]","[""c10::BFloat16"","""",""""]",null,41,156296.026
