kernel_name,variant_index,mapping_status,operator_name,input_shapes,input_dtypes,candidate_operators,kernel_event_count,kernel_time_us
fused_moe_kernel,1,missing_external_id,null,null,null,null,20480,1133699.691
fused_moe_kernel,2,operator_shape_matched,vllm::moe_forward_shared,"[[8192,2048],[8192,2048],[8192,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,2480,766767.622
fused_moe_kernel,3,operator_shape_matched,vllm::moe_forward_shared,"[[5089,2048],[5089,2048],[5089,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,18075.507
fused_moe_kernel,4,operator_shape_matched,vllm::moe_forward_shared,"[[4096,2048],[4096,2048],[4096,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,15700.516
kernel_unified_attention,1,operator_shape_matched,vllm::unified_attention_with_output,"[[8192,8,256],[8192,1,256],[8192,1,256],[8192,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,310,560536.223
kernel_unified_attention,2,missing_external_id,null,null,null,null,2560,253274.541
kernel_unified_attention,3,operator_shape_matched,vllm::unified_attention_with_output,"[[5089,8,256],[5089,1,256],[5089,1,256],[5089,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,13418.327
kernel_unified_attention,4,operator_shape_matched,vllm::unified_attention_with_output,"[[4096,8,256],[4096,1,256],[4096,1,256],[4096,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,9317.089
mm_kernel_general_host_tma,1,operator_shape_matched,aten::mm,"[[8192,2048],[2048,6144],[8192,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,930,295305.761
mm_kernel_general_host_tma,2,missing_external_id,null,null,null,null,28160,259002.589
mm_kernel_general_host_tma,3,operator_shape_matched,aten::mm,"[[8192,2048],[2048,2048],[8192,2048]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,1240,139927.596
mm_kernel_general_host_tma,4,operator_shape_matched,aten::mm,"[[8192,2048],[2048,4608],[8192,4608]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,310,75917.281
mm_kernel_general_host_tma,5,operator_shape_matched,aten::mm,"[[8192,2048],[2048,32],[8192,32]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,930,17121.927
mm_kernel_general_host_tma,6,operator_shape_matched,aten::mm,"[[5089,2048],[2048,6144],[5089,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,6237.279
mm_kernel_general_host_tma,7,operator_shape_matched,aten::mm,"[[4096,2048],[2048,6144],[4096,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,4894.406
mm_kernel_general_host_tma,8,operator_shape_matched,aten::mm,"[[5089,2048],[2048,2048],[5089,2048]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,40,3059.23
mm_kernel_general_host_tma,9,operator_shape_matched,aten::mm,"[[4096,2048],[2048,2048],[4096,2048]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,40,2122.189
mm_kernel_general_host_tma,10,operator_shape_matched,aten::mm,"[[5089,2048],[2048,4608],[5089,4608]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,10,1496.223
