operator_name,kernel_name,variant_index,mapping_status,input_shapes,input_dtypes,candidate_operators,kernel_event_count,kernel_time_us
vllm::moe_forward_shared,fused_moe_kernel,1,operator_shape_matched,"[[64,2048],[64,2048],[64,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,17760,1064037.794
vllm::moe_forward_shared,fused_moe_kernel,2,operator_shape_matched,"[[8192,2048],[8192,2048],[8192,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,2480,757387.245
vllm::moe_forward_shared,fused_moe_kernel,3,operator_shape_matched,"[[5089,2048],[5089,2048],[5089,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,17827.572
vllm::moe_forward_shared,fused_moe_kernel,4,operator_shape_matched,"[[4096,2048],[4096,2048],[4096,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,15448.662
vllm::moe_forward_shared,fused_moe_kernel,5,operator_shape_matched,"[[63,2048],[63,2048],[63,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,160,9414.431
vllm::moe_forward_shared,fused_moe_kernel,6,operator_shape_matched,"[[62,2048],[62,2048],[62,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4682.978
vllm::moe_forward_shared,fused_moe_kernel,7,operator_shape_matched,"[[56,2048],[56,2048],[56,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4644.165
vllm::moe_forward_shared,fused_moe_kernel,8,operator_shape_matched,"[[58,2048],[58,2048],[58,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4637.341
vllm::moe_forward_shared,fused_moe_kernel,9,operator_shape_matched,"[[60,2048],[60,2048],[60,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4599.827
vllm::moe_forward_shared,fused_moe_kernel,10,operator_shape_matched,"[[54,2048],[54,2048],[54,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4566.877
vllm::moe_forward_shared,fused_moe_kernel,11,operator_shape_matched,"[[52,2048],[52,2048],[52,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4543.097
vllm::moe_forward_shared,fused_moe_kernel,12,operator_shape_matched,"[[46,2048],[46,2048],[46,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4277.565
vllm::moe_forward_shared,fused_moe_kernel,13,operator_shape_matched,"[[50,2048],[50,2048],[50,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4254.222
vllm::moe_forward_shared,fused_moe_kernel,14,operator_shape_matched,"[[48,2048],[48,2048],[48,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4193.752
