operator_id,operator_name,operator_kind,kernel_name
1,moe_align_block_size,custom,moe_align_block_size_stage1
1,moe_align_block_size,custom,moe_align_block_size_stage2_vec
1,moe_align_block_size,custom,moe_align_block_size_stage3
1,moe_align_block_size,custom,moe_align_block_size_stage4
2,vllm::qwen_gdn_attention_core,custom,_causal_conv1d_fwd_kernel
3,vllm::qwen_gdn_attention_core,custom,_causal_conv1d_update_kernel
4,vllm::qwen_gdn_attention_core,custom,_fused_post_conv_kernel
5,vllm::moe_forward_shared,custom,_silu_and_mul_kernel_kernel_rank_2
6,vllm::qwen_gdn_attention_core,custom,"void cutlass::device_kernel<flat::kernel::FlatKernelTmaWarpSpecializedDeltaRule<flat::collective::FlatMainloopTmaWarpSpecializedDeltaRule<cutlass::bfloat16_t, float, float, cute::tuple<cute::C<64>, cute::C<64>, cute::C<128> >, cute::tuple<long, cute::C<1>, int>, cute::tuple<long, cute::C<1>, int>, cute::tuple<long, cute::C<1>, int>, cute::tuple<long, cute::C<1>, int>, std::tuple<flat::kernel::Option<(flat::kernel::Tag)1, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)11, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)10, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)9, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)12, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)13, cute::C<false> > > >, flat::kernel::IndividualTileScheduler<flat::kernel::GVATag>, std::tuple<flat::kernel::Option<(flat::kernel::Tag)1, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)11, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)10, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)9, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)12, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)13, cute::C<false> > > > >(flat::kernel::FlatKernelTmaWarpSpecializedDeltaRule<flat::collective::FlatMainloopTmaWarpSpecializedDeltaRule<cutlass::bfloat16_t, float, float, cute::tuple<cute::C<64>, cute::C<64>, cute::C<128> >, cute::tuple<long, cute::C<1>, int>, cute::tuple<long, cute::C<1>, int>, cute::tuple<long, cute::C<1>, int>, cute::tuple<long, cute::C<1>, int>, std::tuple<flat::kernel::Option<(flat::kernel::Tag)1, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)11, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)10, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)9, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)12, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)13, cute::C<false> > > >, flat::kernel::IndividualTileScheduler<flat::kernel::GVATag>, std::tuple<flat::kernel::Option<(flat::kernel::Tag)1, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)11, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)10, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)9, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)12, cute::C<true> >, flat::kernel::Option<(flat::kernel::Tag)13, cute::C<false> > > >::Params)"
7,vllm::moe_forward_shared,custom,fused_moe_kernel
8,vllm::qwen_gdn_attention_core,custom,fused_recurrent_gated_delta_rule_packed_decode_kernel
9,vllm::qwen_gdn_attention_core,custom,fused_sigmoid_gating_delta_rule_update_kernel
10,vllm::unified_attention_with_output,custom,kernel_unified_attention
11,vllm::moe_forward_shared,custom,moe_sum_kernel
12,vllm::unified_attention_with_output,custom,reduce_segments
13,vllm::unified_kv_cache_update,custom,reshape_and_cache_kernel_flash
14,vllm::moe_forward_shared,custom,topk_gating_softmax_kernel
