kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_causal_conv1d_fwd_kernel,both,990,990,60824.344,63859.717,0.849922,0.835757,-0.014165
_causal_conv1d_update_kernel,both,7680,7680,25131.585,25913.951,0.351173,0.339146,-0.012027
_compute_slot_mapping_kernel,both,1156,1156,3475.375,3456.835,0.048563,0.045241,-0.003322
_fused_post_conv_kernel,both,990,990,46084.029,46139.863,0.64395,0.603851,-0.040099
_triton_mrope_forward,right_only,0,2890,0.0,6596.703,0.0,0.086334,0.086334
_zero_kv_blocks_kernel,both,66,66,1066.167,1072.179,0.014898,0.014032,-0.000866
fused_moe_kernel,both,23120,23120,2020917.338,1985876.642,28.239057,25.98995,-2.249107
fused_recurrent_gated_delta_rule_packed_decode_kernel,both,7680,7680,328545.636,327913.694,4.590895,4.291536,-0.299359
fused_sigmoid_gating_delta_rule_update_kernel,both,960,960,26267.386,27135.764,0.367044,0.355136,-0.011908
layer_norm_fwd_kernel,right_only,0,8670,0.0,51614.509,0.0,0.675499,0.675499
memcpy32_post,left_only,10240,0,13058.938,0.0,0.182478,0.0,-0.182478
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),both,289,289,23629.965,22899.385,0.330191,0.299693,-0.030497
nvjet_tst_128x128_64x6_2x1_v_bz_TNT,both,1280,1280,25895.453,21686.571,0.361847,0.283821,-0.078026
nvjet_tst_128x160_64x5_2x1_v_bz_TNT,left_only,40,0,787.027,0.0,0.010997,0.0,-0.010997
nvjet_tst_128x208_64x5_4x2_h_bz_coopA_TNT,right_only,0,40,0.0,247.238,0.0,0.003236,0.003236
nvjet_tst_128x64_64x8_1x2_h_bz_TNT,left_only,40,0,520.974,0.0,0.00728,0.0,-0.00728
nvjet_tst_128x80_64x8_1x2_h_bz_TNT,left_only,40,0,590.922,0.0,0.008257,0.0,-0.008257
nvjet_tst_16x64_64x16_2x1_v_bz_TNN,left_only,30,0,226.79,0.0,0.003169,0.0,-0.003169
nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,both,310,320,63484.831,65895.128,0.887098,0.862396,-0.024703
nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,both,950,960,260943.89,265221.504,3.64627,3.471058,-0.175211
nvjet_tst_24x64_64x16_4x1_v_bz_TNN,right_only,0,720,0.0,3693.968,0.0,0.048344,0.048344
nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT,both,3830,3840,176737.868,173682.451,2.469626,2.273051,-0.196576
nvjet_tst_256x152_64x4_2x1_v_bz_coopA_TNT,right_only,0,10,0.0,288.549,0.0,0.003776,0.003776
nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT,left_only,110,0,7903.87,0.0,0.110444,0.0,-0.110444
nvjet_tst_256x16_64x6_2x1_v_bz_TNT,both,8,8,1394.78,1396.317,0.01949,0.018274,-0.001216
nvjet_tst_256x24_64x6_2x1_v_bz_TNT,both,8,8,1407.007,1416.543,0.019661,0.018539,-0.001122
nvjet_tst_256x32_64x5_2x1_v_bz_TNT,both,8,8,1414.747,1431.422,0.019769,0.018734,-0.001035
nvjet_tst_256x40_64x5_2x1_v_bz_TNT,both,8,8,1427.484,1445.758,0.019947,0.018921,-0.001026
nvjet_tst_256x48_64x5_2x1_v_bz_TNT,both,8,8,1438.43,1455.902,0.0201,0.019054,-0.001046
nvjet_tst_256x56_64x5_2x1_v_bz_TNT,both,8,8,1441.279,1460.957,0.02014,0.01912,-0.001019
nvjet_tst_256x72_64x5_1x2_h_bz_TNT,right_only,0,40,0.0,721.164,0.0,0.009438,0.009438
nvjet_tst_256x8_64x6_2x1_v_bz_TNT,both,9,9,1538.881,1536.798,0.021503,0.020113,-0.001391
nvjet_tst_256x96_64x4_2x1_v_bz_coopA_TNT,right_only,0,30,0.0,1349.659,0.0,0.017664,0.017664
nvjet_tst_320x64_64x4_2x1_v_bz_TNT,both,232,232,42566.519,43539.075,0.594798,0.569813,-0.024985
nvjet_tst_32x64_64x16_1x2_h_bz_TNN,both,930,960,15237.067,15607.642,0.212913,0.204263,-0.00865
nvjet_tst_32x64_64x16_1x4_h_bz_TNN,left_only,30,0,255.267,0.0,0.003567,0.0,-0.003567
nvjet_tst_48x64_64x15_2x1_v_bz_TNN,right_only,0,150,0.0,1775.014,0.0,0.02323,0.02323
nvjet_tst_64x16_64x16_4x1_v_bz_TNT,both,160,160,1736.291,1767.239,0.024262,0.023129,-0.001133
nvjet_tst_64x16_64x16_4x2_h_bz_TNT,both,640,320,3174.853,1589.574,0.044363,0.020803,-0.02356
nvjet_tst_64x24_64x16_4x1_v_bz_TNT,right_only,0,160,0.0,1790.278,0.0,0.02343,0.02343
nvjet_tst_64x24_64x16_4x2_h_bz_TNT,right_only,0,640,0.0,3268.132,0.0,0.042771,0.042771
nvjet_tst_64x32_64x16_4x1_v_bz_TNT,both,320,160,3554.906,1800.33,0.049674,0.023562,-0.026112
nvjet_tst_64x32_64x16_4x2_h_bz_TNT,both,19120,17760,100466.544,90743.784,1.403858,1.1876,-0.216258
nvjet_tst_64x40_64x16_4x1_v_bz_TNT,right_only,0,160,0.0,1832.382,0.0,0.023981,0.023981
nvjet_tst_64x48_64x15_2x4_h_bz_TNT,right_only,0,40,0.0,266.794,0.0,0.003492,0.003492
nvjet_tst_64x48_64x15_4x1_v_bz_TNT,right_only,0,160,0.0,1817.989,0.0,0.023793,0.023793
nvjet_tst_64x56_64x14_4x1_v_bz_TNT,right_only,0,160,0.0,1814.152,0.0,0.023743,0.023743
nvjet_tst_64x64_64x13_4x1_v_bz_TNT,both,2390,2270,22011.204,21054.474,0.307571,0.275548,-0.032023
nvjet_tst_64x8_64x16_1x1_h_bz_TNT,both,10270,9030,52835.99,44573.191,0.738298,0.583347,-0.154951
nvjet_tst_64x8_64x16_1x2_h_bz_TNT,both,120,120,602.251,596.617,0.008415,0.007808,-0.000607
nvjet_tst_64x8_64x16_1x4_h_bz_TNT,both,240,750,1270.869,3944.728,0.017758,0.051626,0.033868
nvjet_tst_64x8_64x16_2x1_v_bz_TNT,both,1240,1280,22649.469,23403.547,0.31649,0.306291,-0.010198
nvjet_tst_64x8_64x16_2x4_h_bz_TNT,both,19760,19760,119900.199,109080.311,1.675412,1.427577,-0.247835
nvjet_tst_64x8_64x16_4x1_v_bz_TNT,both,720,920,4770.412,5609.059,0.066659,0.073408,0.006749
nvjet_tst_64x8_64x16_4x2_h_bz_TNT,both,640,480,3203.906,2323.288,0.044769,0.030406,-0.014364
nvjet_tst_64x96_64x10_4x2_h_bz_TNT,right_only,0,40,0.0,300.133,0.0,0.003928,0.003928
nvjet_tst_72x64_64x12_4x1_v_bz_TNN,both,7170,6660,84903.169,79335.59,1.186385,1.038296,-0.148089
nvjet_tst_8x64_64x16_4x1_v_bz_TNN,both,7490,7220,39357.835,37556.024,0.549962,0.49151,-0.058452
nvjet_tst_8x64_64x16_4x2_h_bz_TNN,right_only,0,30,0.0,189.288,0.0,0.002477,0.002477
"std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, false, true, true, false, 7, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>)",right_only,0,40,0.0,152.903,0.0,0.002001,0.002001
triton_per_fused_1,left_only,8670,0,54535.865,0.0,0.762051,0.0,-0.762051
triton_poi_fused_0,left_only,11560,0,38097.879,0.0,0.532356,0.0,-0.532356
triton_poi_fused_2,left_only,289,0,310.083,0.0,0.004333,0.0,-0.004333
triton_poi_fused_3,left_only,2601,0,2782.455,0.0,0.03888,0.0,-0.03888
triton_poi_fused_5,left_only,8670,0,16540.253,0.0,0.231123,0.0,-0.231123
triton_poi_fused_7,left_only,2890,0,16563.168,0.0,0.231444,0.0,-0.231444
triton_poi_fused__to_copy__unsafe_view_add_clone_mean_mm_mul_pow_rsqrt_silu_t_view_2,left_only,8670,0,30989.55,0.0,0.433029,0.0,-0.433029
triton_poi_fused_add_2,left_only,2890,0,15144.309,0.0,0.211617,0.0,-0.211617
triton_poi_fused_add_4,left_only,8670,0,44844.787,0.0,0.626633,0.0,-0.626633
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_ge_lt_mul_sub_0,both,288,288,326.666,338.472,0.004565,0.00443,-0.000135
triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mul_sub_0,both,1,1,1.216,1.216,1.7e-05,1.6e-05,-1e-06
triton_poi_fused_bitwise_and_bitwise_not_bitwise_or_ge_lt_1,both,1,1,1.057,1.056,1.5e-05,1.4e-05,-1e-06
triton_poi_fused_mul_sigmoid_view_0,left_only,289,0,1506.535,0.0,0.021051,0.0,-0.021051
triton_poi_fused_mul_silu_slice_0,left_only,11560,0,33152.251,0.0,0.463249,0.0,-0.463249
triton_red_fused_1,left_only,289,0,1346.718,0.0,0.018818,0.0,-0.018818
triton_red_fused_6,left_only,2890,0,9275.562,0.0,0.129611,0.0,-0.129611
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_1,left_only,2890,0,32446.168,0.0,0.453383,0.0,-0.453383
