operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_C::silu_and_mul,both,1,1,3,72,1320,23120,53947.526,106733.632,0.75383,1.396865,0.643036
_C_cache_ops::reshape_and_cache_flash,both,1,1,3,36,330,2890,6796.213,12809.929,0.094966,0.167649,0.072682
_C_custom_ar::all_reduce,both,1,1,34,35,256,20817,10230.451,283768.931,0.142954,3.713796,3.570842
_moe_C::moe_align_block_size,both,2,2,3,31,2640,22720,44780.813,91629.138,0.62574,1.199187,0.573447
_moe_C::topk_softmax,both,1,1,3,36,1320,11560,32520.47,88375.731,0.454421,1.156608,0.702187
_vllm_fa3_C::fwd,both,1,5,33,67,330,5460,74048.264,334844.151,1.034705,4.382237,3.347532
_vllm_fa3_C::get_scheduler_metadata,both,3,3,38,63,289,289,533.982,531.984,0.007462,0.006962,-0.000499
aten::_index_put_impl_,both,1,1,3,3,990,990,5194.348,5245.455,0.072583,0.068649,-0.003933
aten::add,both,2,5,101,281,578,93636,789.55,338939.985,0.011033,4.435841,4.424808
aten::argmax,both,1,1,64,63,289,289,9649.229,9555.942,0.134832,0.125062,-0.00977
aten::bitwise_not,both,3,3,3,3,990,990,1571.044,1286.309,0.021953,0.016834,-0.005118
aten::cat,both,2,2,64,64,1920,1920,23203.63,22923.549,0.324233,0.30001,-0.024224
aten::copy_,both,5,7,390,746,7591,178969,39928.504,1000143.146,0.557936,13.089267,12.531331
aten::exp,both,1,1,33,33,990,990,1877.127,1878.965,0.02623,0.024591,-0.001639
aten::fill_,both,5,4,160,132,1396,9742,1372.389,20925.976,0.019177,0.273866,0.25469
aten::gather,both,1,1,28,27,280,280,875.03,870.836,0.012227,0.011397,-0.00083
aten::gt,both,1,1,33,32,99,99,133.855,136.419,0.00187,0.001785,-8.5e-05
aten::index,both,3,3,28,54,1585,4474,5554.155,19547.652,0.07761,0.255828,0.178217
aten::index_select,both,1,1,9,9,9,9,51.679,47.456,0.000722,0.000621,-0.000101
aten::masked_fill_,both,2,2,40,39,1279,1279,5615.594,5619.266,0.078469,0.073542,-0.004927
aten::mean,right_only,0,1,0,108,0,29189,0.0,213546.714,0.0,2.79477,2.79477
aten::mm,both,22,44,88,351,9199,79679,628893.165,1043977.342,8.787767,13.662943,4.875176
aten::mul,both,1,4,3,288,1320,72828,58272.243,542583.213,0.814261,7.101,6.28674
aten::pow,right_only,0,1,0,108,0,29189,0.0,166506.342,0.0,2.179134,2.179134
aten::rsqrt,right_only,0,1,0,108,0,29189,0.0,37475.333,0.0,0.490454,0.490454
aten::scatter_,both,1,1,17,16,17,16,31.203,30.083,0.000436,0.000394,-4.2e-05
aten::sigmoid,both,1,1,3,72,1320,14450,2406.925,31645.671,0.033633,0.414159,0.380526
