operator_name,input_shapes,input_dtypes,presence,left_mapping_statuses,right_mapping_statuses,left_kernel_type_count,right_kernel_type_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_C::silu_and_mul,"[[1,256],[1,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,68.671,0.0,0.000899,0.000899
_C::silu_and_mul,"[[1025,256],[1025,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,94.179,0.0,0.001233,0.001233
_C::silu_and_mul,"[[104,256],[104,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,83.168,0.0,0.001088,0.001088
_C::silu_and_mul,"[[11,256],[11,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,68.066,0.0,0.000891,0.000891
_C::silu_and_mul,"[[120,256],[120,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,81.152,0.0,0.001062,0.001062
_C::silu_and_mul,"[[13,256],[13,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,68.613,0.0,0.000898,0.000898
_C::silu_and_mul,"[[136,256],[136,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,85.664,0.0,0.001121,0.001121
_C::silu_and_mul,"[[15,256],[15,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,68.83,0.0,0.000901,0.000901
_C::silu_and_mul,"[[152,256],[152,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,87.234,0.0,0.001142,0.001142
_C::silu_and_mul,"[[16,256],[16,512]]","[""c10::BFloat16"",""c10::BFloat16""]",right_only,[],"[""operator_shape_matched""]",0,1,0,40,0.0,70.052,0.0,0.000917,0.000917
