kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_causal_conv1d_fwd_kernel,both,990,990,60884.259,63824.829,0.993985,0.722093,-0.271892
_causal_conv1d_update_kernel,both,7680,7680,25228.992,25670.868,0.411884,0.290432,-0.121452
_compute_slot_mapping_kernel,both,1156,1156,3301.433,3271.516,0.053899,0.037013,-0.016886
_fused_post_conv_kernel,both,990,990,46073.338,45992.981,0.752184,0.520349,-0.231835
_fused_recurrent_gated_delta_rule_packed_decode_kernel_fp32_beta,both,7680,7680,328216.682,327109.535,5.358402,3.700809,-1.657594
_scatter_jit_function,both,17,17,24.642,23.04,0.000402,0.000261,-0.000142
_silu_and_mul_kernel_kernel_rank_2,both,200,200,366.826,267.012,0.005989,0.003021,-0.002968
add_func_kernel_rank_1,both,578,41038,681.926,270382.08,0.011133,3.059013,3.04788
add_func_tensor_scalar_kernel_rank_1,right_only,0,67048,0.0,75935.585,0.0,0.85911,0.85911
argmax_kernel_inner,both,289,289,19174.313,19090.248,0.313036,0.215981,-0.097055
bitwise_not_func_kernel_rank_1,both,990,990,1235.537,1233.869,0.020171,0.01396,-0.006212
cat_copy_func_kernel_4,both,1920,13480,30227.492,54832.609,0.493488,0.620358,0.12687
embedding_kernel,both,289,289,801.109,791.088,0.013079,0.00895,-0.004129
exp_func_kernel_rank_1,both,990,990,1672.11,1653.65,0.027299,0.018709,-0.00859
fill_scalar_kernel,both,779,555,858.593,518.829,0.014017,0.00587,-0.008147
full_func_scalar_kernel_rank_1,both,198,198,191.55,192.293,0.003127,0.002176,-0.000952
fused_moe_kernel,both,23120,23120,1949891.769,1979115.708,31.833558,22.391059,-9.4425
fused_sigmoid_gating_delta_rule_update_kernel,both,960,960,26288.418,26234.974,0.42918,0.296814,-0.132366
gt_func_scalar_kernel_rank_1,both,99,99,102.815,121.219,0.001679,0.001371,-0.000307
kernel_unified_attention,both,2890,2890,837970.2,839936.017,13.68054,9.502757,-4.177783
masked_fill_kernel_kernel_rank_2,both,289,289,1218.094,1226.838,0.019886,0.01388,-0.006006
masked_fill_kernel_kernel_rank_4,both,990,990,3085.316,3084.727,0.05037,0.0349,-0.015471
mean_dim_kernel_inner,right_only,0,37859,0.0,219607.392,0.0,2.484565,2.484565
memcpy32_post,left_only,20480,0,25063.345,0.0,0.409179,0.0,-0.409179
mm_kernel_general_host_tma,left_only,31790,0,806077.443,0.0,13.159865,0.0,-13.159865
moe_align_block_size_stage1,both,11360,11360,28130.414,26248.799,0.459252,0.29697,-0.162282
moe_align_block_size_stage2_vec,both,11360,11360,38194.014,35655.051,0.623548,0.403389,-0.220159
moe_align_block_size_stage3,both,11360,11360,16245.546,15191.322,0.265222,0.17187,-0.093352
moe_align_block_size_stage4,both,11360,11360,35699.719,31532.54,0.582827,0.356749,-0.226078
moe_sum_kernel,both,10240,10240,24518.231,24683.894,0.40028,0.279265,-0.121015
