operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
SiluAndMul,right_only,0,2,0,37,0,11560,0.0,19375.171,0.0,0.219204,0.219204
_C_custom_ar::all_reduce,both,1,1,34,34,256,20736,1543.715,342565.117,0.025202,3.875668,3.850466
aten::_index_put_impl_,both,1,1,3,3,990,990,5263.715,5245.152,0.085934,0.059342,-0.026592
aten::add,both,1,2,101,396,578,108086,681.926,346317.665,0.011133,3.918123,3.90699
aten::argmax,both,1,1,64,64,289,289,19174.313,19090.248,0.313036,0.215981,-0.097055
aten::bitwise_not,both,1,1,3,3,990,990,1235.537,1233.869,0.020171,0.01396,-0.006212
aten::cat,both,1,1,64,212,1920,13480,30227.492,54832.609,0.493488,0.620358,0.12687
aten::copy_,both,5,7,390,981,7591,230868,39717.414,1259580.481,0.648419,14.250476,13.602057
aten::embedding,both,1,1,37,37,289,289,801.109,791.088,0.013079,0.00895,-0.004129
aten::exp,both,1,1,33,33,990,990,1672.11,1653.65,0.027299,0.018709,-0.00859
aten::fill_,both,1,1,112,64,579,555,536.176,518.829,0.008754,0.00587,-0.002884
aten::full,both,1,1,1,1,198,198,191.55,192.293,0.003127,0.002176,-0.000952
aten::gt,both,1,1,33,33,99,99,102.815,121.219,0.001679,0.001371,-0.000307
aten::index,both,3,3,28,56,1585,4475,5524.535,20036.607,0.090192,0.226688,0.136495
aten::masked_fill_,both,2,2,40,40,1279,1279,4303.41,4311.565,0.070257,0.04878,-0.021477
aten::mean,right_only,0,1,0,148,0,37859,0.0,219607.392,0.0,2.484565,2.484565
aten::mm,both,18,43,88,360,9199,79399,708419.633,1050127.794,11.565523,11.880798,0.315275
aten::mul,both,1,3,3,481,1320,121958,28236.465,598366.867,0.460983,6.769724,6.308741
aten::pow,right_only,0,1,0,148,0,37859,0.0,305900.866,0.0,3.460861,3.460861
aten::rsqrt,right_only,0,1,0,145,0,37859,0.0,41579.913,0.0,0.470421,0.470421
aten::scatter_,both,1,1,17,17,17,17,24.642,23.04,0.000402,0.000261,-0.000142
aten::sigmoid,both,1,1,3,74,1320,14450,1634.484,24578.846,0.026684,0.278077,0.251393
aten::silu,right_only,0,1,0,37,0,8670,0.0,54392.578,0.0,0.61538,0.61538
aten::sub,both,2,2,102,202,2119,7899,2143.829,9731.24,0.035,0.110096,0.075096
aten::zero_,both,1,1,3,3,1320,1320,13989.133,14002.239,0.228384,0.158417,-0.069967
aten::zeros,both,1,1,1,1,2640,31390,2572.746,40509.58,0.042002,0.458312,0.41631
null,both,46,1,1,1,328668,1156,2792882.759,3271.516,45.596067,0.037013,-45.559054
record_param_comms,both,1,1,64,64,289,289,22784.339,23264.916,0.371973,0.263212,-0.108761
symm_mem::two_shot_all_reduce_,both,1,1,3,3,1353,2673,149158.942,658451.661,2.43514,7.449504,5.014363
triton_per_fused_1,left_only,1,0,3,0,990,0,35276.213,0.0,0.575913,0.0,-0.575913
triton_poi_fused_0,left_only,1,0,9,0,1320,0,20165.113,0.0,0.329212,0.0,-0.329212
triton_poi_fused_2,left_only,1,0,3,0,33,0,48.609,0.0,0.000794,0.0,-0.000794
triton_poi_fused_3,left_only,1,0,3,0,297,0,412.396,0.0,0.006733,0.0,-0.006733
triton_poi_fused_5,left_only,1,0,6,0,990,0,7654.455,0.0,0.124965,0.0,-0.124965
triton_poi_fused_7,left_only,1,0,3,0,330,0,10922.181,0.0,0.178313,0.0,-0.178313
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,both,1,1,36,36,288,288,333.489,366.469,0.005444,0.004146,-0.001298
triton_poi_fused___and_____or___add_ge_lt_mul_sub_0,both,1,1,1,1,1,1,1.185,1.184,1.9e-05,1.3e-05,-6e-06
triton_poi_fused___and_____or___bitwise_not_ge_lt_1,both,1,1,1,1,1,1,1.056,1.12,1.7e-05,1.3e-05,-5e-06
triton_poi_fused__to_copy__unsafe_view_add_clone_linear_mean_mul_pow_rsqrt_silu_view_2,left_only,1,0,3,0,990,0,20615.07,0.0,0.336558,0.0,-0.336558
triton_poi_fused_add_2,left_only,1,0,3,0,330,0,10768.887,0.0,0.175811,0.0,-0.175811
triton_poi_fused_add_4,left_only,1,0,3,0,990,0,32396.051,0.0,0.528892,0.0,-0.528892
triton_poi_fused_mul_sigmoid_view_0,left_only,1,0,3,0,33,0,1014.26,0.0,0.016559,0.0,-0.016559
triton_poi_fused_mul_silu_slice_0,left_only,1,0,3,0,1320,0,12546.986,0.0,0.20484,0.0,-0.20484
triton_red_fused_1,left_only,1,0,3,0,33,0,844.052,0.0,0.01378,0.0,-0.01378
triton_red_fused_6,left_only,1,0,3,0,330,0,5354.185,0.0,0.087411,0.0,-0.087411
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_1,left_only,1,0,3,0,330,0,25914.173,0.0,0.42307,0.0,-0.42307
triton_red_fused__to_copy_add_copy__fused_add_rms_norm_moe_forward_shared_3,left_only,1,0,3,0,990,0,80413.512,0.0,1.312816,0.0,-1.312816
vllm::flashinfer_trtllm_fused_allreduce_norm,left_only,1,0,3,0,1320,0,266968.228,0.0,4.358472,0.0,-4.358472
vllm::moe_forward_shared,both,6,8,3,37,9240,90560,839599.928,2168557.11,13.707147,24.534336,10.827189
vllm::qwen_gdn_attention_core,both,4,6,3,37,3930,19290,329508.792,684925.614,5.379497,7.749021,2.369524
vllm::unified_attention_with_output,both,1,2,3,37,330,5450,584526.467,853948.198,9.542867,9.661287,0.11842
vllm::unified_kv_cache_update,both,1,1,3,37,330,2890,7163.114,11392.483,0.116944,0.128891,0.011947
