kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_causal_conv1d_fwd_kernel,both,990,990,63824.829,63859.717,0.722093,0.835757,0.113664
_causal_conv1d_update_kernel,both,7680,7680,25670.868,25913.951,0.290432,0.339146,0.048714
_compute_slot_mapping_kernel,both,1156,1156,3271.516,3456.835,0.037013,0.045241,0.008228
_fused_post_conv_kernel,both,990,990,45992.981,46139.863,0.520349,0.603851,0.083501
_fused_recurrent_gated_delta_rule_packed_decode_kernel_fp32_beta,left_only,7680,0,327109.535,0.0,3.700809,0.0,-3.700809
_scatter_jit_function,left_only,17,0,23.04,0.0,0.000261,0.0,-0.000261
_silu_and_mul_kernel_kernel_rank_2,left_only,200,0,267.012,0.0,0.003021,0.0,-0.003021
_triton_mrope_forward,right_only,0,2890,0.0,6596.703,0.0,0.086334,0.086334
_zero_kv_blocks_kernel,right_only,0,66,0.0,1072.179,0.0,0.014032,0.014032
add_func_kernel_rank_1,left_only,41038,0,270382.08,0.0,3.059013,0.0,-3.059013
add_func_tensor_scalar_kernel_rank_1,left_only,67048,0,75935.585,0.0,0.85911,0.0,-0.85911
argmax_kernel_inner,left_only,289,0,19090.248,0.0,0.215981,0.0,-0.215981
bitwise_not_func_kernel_rank_1,left_only,990,0,1233.869,0.0,0.01396,0.0,-0.01396
cat_copy_func_kernel_4,left_only,13480,0,54832.609,0.0,0.620358,0.0,-0.620358
embedding_kernel,left_only,289,0,791.088,0.0,0.00895,0.0,-0.00895
exp_func_kernel_rank_1,left_only,990,0,1653.65,0.0,0.018709,0.0,-0.018709
fill_scalar_kernel,left_only,555,0,518.829,0.0,0.00587,0.0,-0.00587
full_func_scalar_kernel_rank_1,left_only,198,0,192.293,0.0,0.002176,0.0,-0.002176
fused_moe_kernel,both,23120,23120,1979115.708,1985876.642,22.391059,25.98995,3.598891
fused_recurrent_gated_delta_rule_packed_decode_kernel,right_only,0,7680,0.0,327913.694,0.0,4.291536,4.291536
fused_sigmoid_gating_delta_rule_update_kernel,both,960,960,26234.974,27135.764,0.296814,0.355136,0.058323
gt_func_scalar_kernel_rank_1,left_only,99,0,121.219,0.0,0.001371,0.0,-0.001371
kernel_unified_attention,left_only,2890,0,839936.017,0.0,9.502757,0.0,-9.502757
layer_norm_fwd_kernel,right_only,0,8670,0.0,51614.509,0.0,0.675499,0.675499
masked_fill_kernel_kernel_rank_2,left_only,289,0,1226.838,0.0,0.01388,0.0,-0.01388
masked_fill_kernel_kernel_rank_4,left_only,990,0,3084.727,0.0,0.0349,0.0,-0.0349
mean_dim_kernel_inner,left_only,37859,0,219607.392,0.0,2.484565,0.0,-2.484565
moe_align_block_size_stage1,left_only,11360,0,26248.799,0.0,0.29697,0.0,-0.29697
moe_align_block_size_stage2_vec,left_only,11360,0,35655.051,0.0,0.403389,0.0,-0.403389
moe_align_block_size_stage3,left_only,11360,0,15191.322,0.0,0.17187,0.0,-0.17187
moe_align_block_size_stage4,left_only,11360,0,31532.54,0.0,0.356749,0.0,-0.356749
moe_sum_kernel,left_only,10240,0,24683.894,0.0,0.279265,0.0,-0.279265
mul_broadcast_2d_kernel,left_only,75718,0,433267.132,0.0,4.901841,0.0,-4.901841
mul_generic_nd_kernel,left_only,34640,0,74333.57,0.0,0.840985,0.0,-0.840985
mul_kernel,left_only,11600,0,90766.165,0.0,1.026898,0.0,-1.026898
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),both,289,289,23264.916,22899.385,0.263212,0.299693,0.036482
nvjet_tst_128x128_64x6_2x1_v_bz_TNT,both,1280,1280,21428.145,21686.571,0.242431,0.283821,0.04139
nvjet_tst_128x160_64x5_2x1_v_bz_TNT,left_only,40,0,667.954,0.0,0.007557,0.0,-0.007557
nvjet_tst_128x208_64x5_4x2_h_bz_coopA_TNT,right_only,0,40,0.0,247.238,0.0,0.003236,0.003236
nvjet_tst_128x64_64x8_1x2_h_bz_TNT,left_only,40,0,462.761,0.0,0.005236,0.0,-0.005236
nvjet_tst_128x80_64x8_1x2_h_bz_TNT,left_only,40,0,515.691,0.0,0.005834,0.0,-0.005834
nvjet_tst_16x64_64x16_2x1_v_bz_TNN,left_only,30,0,219.268,0.0,0.002481,0.0,-0.002481
nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,both,310,320,64133.332,65895.128,0.725583,0.862396,0.136812
nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,both,950,960,262807.996,265221.504,2.973322,3.471058,0.497736
nvjet_tst_24x64_64x16_4x1_v_bz_TNN,both,720,720,3598.663,3693.968,0.040714,0.048344,0.00763
nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT,both,3830,3840,178800.994,173682.451,2.022895,2.273051,0.250156
nvjet_tst_256x152_64x4_2x1_v_bz_coopA_TNT,right_only,0,10,0.0,288.549,0.0,0.003776,0.003776
nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT,left_only,110,0,7997.658,0.0,0.090483,0.0,-0.090483
nvjet_tst_256x16_64x6_2x1_v_bz_TNT,both,8,8,1400.699,1396.317,0.015847,0.018274,0.002427
