operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
SiluAndMul,left_only,2,0,37,0,11560,0,19375.171,0.0,0.219204,0.0,-0.219204
_C::silu_and_mul,right_only,0,1,0,72,0,23120,0.0,106733.632,0.0,1.396865,1.396865
_C_cache_ops::reshape_and_cache_flash,right_only,0,1,0,36,0,2890,0.0,12809.929,0.0,0.167649,0.167649
_C_custom_ar::all_reduce,both,1,1,34,35,20736,20817,342565.117,283768.931,3.875668,3.713796,-0.161872
_moe_C::moe_align_block_size,right_only,0,2,0,31,0,22720,0.0,91629.138,0.0,1.199187,1.199187
_moe_C::topk_softmax,right_only,0,1,0,36,0,11560,0.0,88375.731,0.0,1.156608,1.156608
_vllm_fa3_C::fwd,right_only,0,5,0,67,0,5460,0.0,334844.151,0.0,4.382237,4.382237
_vllm_fa3_C::get_scheduler_metadata,right_only,0,3,0,63,0,289,0.0,531.984,0.0,0.006962,0.006962
aten::_index_put_impl_,both,1,1,3,3,990,990,5245.152,5245.455,0.059342,0.068649,0.009307
aten::add,both,2,5,396,281,108086,93636,346317.665,338939.985,3.918123,4.435841,0.517718
aten::argmax,both,1,1,64,63,289,289,19090.248,9555.942,0.215981,0.125062,-0.090918
aten::bitwise_not,both,1,3,3,3,990,990,1233.869,1286.309,0.01396,0.016834,0.002875
aten::cat,both,1,2,212,64,13480,1920,54832.609,22923.549,0.620358,0.30001,-0.320348
aten::copy_,both,7,7,981,746,230868,178969,1259580.481,1000143.146,14.250476,13.089267,-1.161208
aten::embedding,left_only,1,0,37,0,289,0,791.088,0.0,0.00895,0.0,-0.00895
aten::exp,both,1,1,33,33,990,990,1653.65,1878.965,0.018709,0.024591,0.005882
aten::fill_,both,1,4,64,132,555,9742,518.829,20925.976,0.00587,0.273866,0.267997
aten::full,left_only,1,0,1,0,198,0,192.293,0.0,0.002176,0.0,-0.002176
aten::gather,right_only,0,1,0,27,0,280,0.0,870.836,0.0,0.011397,0.011397
aten::gt,both,1,1,33,32,99,99,121.219,136.419,0.001371,0.001785,0.000414
aten::index,both,3,3,56,54,4475,4474,20036.607,19547.652,0.226688,0.255828,0.02914
aten::index_select,right_only,0,1,0,9,0,9,0.0,47.456,0.0,0.000621,0.000621
aten::masked_fill_,both,2,2,40,39,1279,1279,4311.565,5619.266,0.04878,0.073542,0.024762
aten::mean,both,1,1,148,108,37859,29189,219607.392,213546.714,2.484565,2.79477,0.310205
aten::mm,both,43,44,360,351,79399,79679,1050127.794,1043977.342,11.880798,13.662943,1.782145
aten::mul,both,3,4,481,288,121958,72828,598366.867,542583.213,6.769724,7.101,0.331276
aten::pow,both,1,1,148,108,37859,29189,305900.866,166506.342,3.460861,2.179134,-1.281727
aten::rsqrt,both,1,1,145,108,37859,29189,41579.913,37475.333,0.470421,0.490454,0.020033
aten::scatter_,both,1,1,17,16,17,16,23.04,30.083,0.000261,0.000394,0.000133
aten::sigmoid,both,1,1,74,72,14450,14450,24578.846,31645.671,0.278077,0.414159,0.136082
aten::silu,left_only,1,0,37,0,8670,0,54392.578,0.0,0.61538,0.0,-0.61538
aten::sub,both,2,4,202,126,7899,2119,9731.24,2300.445,0.110096,0.030107,-0.079989
aten::sum,right_only,0,1,0,36,0,11560,0.0,208957.205,0.0,2.734705,2.734705
aten::zero_,left_only,1,0,3,0,1320,0,14002.239,0.0,0.158417,0.0,-0.158417
aten::zeros,left_only,1,0,1,0,31390,0,40509.58,0.0,0.458312,0.0,-0.458312
null,both,1,4,1,1,1156,12782,3271.516,62740.226,0.037013,0.821106,0.784093
record_param_comms,both,1,1,64,63,289,289,23264.916,22899.385,0.263212,0.299693,0.036482
symm_mem::two_shot_all_reduce_,both,1,1,3,1,2673,2592,658451.661,293086.139,7.449504,3.835734,-3.61377
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,left_only,1,0,36,0,288,0,366.469,0.0,0.004146,0.0,-0.004146
triton_poi_fused___and_____or___add_ge_lt_mul_sub_0,left_only,1,0,1,0,1,0,1.184,0.0,1.3e-05,0.0,-1.3e-05
triton_poi_fused___and_____or___bitwise_not_ge_lt_1,left_only,1,0,1,0,1,0,1.12,0.0,1.3e-05,0.0,-1.3e-05
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_ge_lt_mul_sub_0,right_only,0,1,0,35,0,288,0.0,338.472,0.0,0.00443,0.00443
triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mul_sub_0,right_only,0,1,0,1,0,1,0.0,1.216,0.0,1.6e-05,1.6e-05
triton_poi_fused_bitwise_and_bitwise_not_bitwise_or_ge_lt_1,right_only,0,1,0,1,0,1,0.0,1.056,0.0,1.4e-05,1.4e-05
vllm::moe_forward_shared,both,8,1,37,36,90560,23120,2168557.11,1985876.642,24.534336,25.98995,1.455614
vllm::qwen_gdn_attention_core,both,6,6,37,36,19290,19290,684925.614,683160.663,7.749021,8.940793,1.191772
vllm::unified_attention_with_output,left_only,2,0,37,0,5450,0,853948.198,0.0,9.661287,0.0,-9.661287
vllm::unified_kv_cache_update,left_only,1,0,37,0,2890,0,11392.483,0.0,0.128891,0.0,-0.128891
