kernel_name,presence,left_call_count,right_call_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_causal_conv1d_fwd_kernel,both,990,990,60884.259,60824.344,0.993985,0.849922,-0.144063
_causal_conv1d_update_kernel,both,7680,7680,25228.992,25131.585,0.411884,0.351173,-0.06071
_compute_slot_mapping_kernel,both,1156,1156,3301.433,3475.375,0.053899,0.048563,-0.005336
_fused_post_conv_kernel,both,990,990,46073.338,46084.029,0.752184,0.64395,-0.108235
_fused_recurrent_gated_delta_rule_packed_decode_kernel_fp32_beta,left_only,7680,0,328216.682,0.0,5.358402,0.0,-5.358402
_scatter_jit_function,left_only,17,0,24.642,0.0,0.000402,0.0,-0.000402
_silu_and_mul_kernel_kernel_rank_2,left_only,200,0,366.826,0.0,0.005989,0.0,-0.005989
_zero_kv_blocks_kernel,right_only,0,66,0.0,1066.167,0.0,0.014898,0.014898
add_func_kernel_rank_1,left_only,578,0,681.926,0.0,0.011133,0.0,-0.011133
argmax_kernel_inner,left_only,289,0,19174.313,0.0,0.313036,0.0,-0.313036
bitwise_not_func_kernel_rank_1,left_only,990,0,1235.537,0.0,0.020171,0.0,-0.020171
cat_copy_func_kernel_4,left_only,1920,0,30227.492,0.0,0.493488,0.0,-0.493488
embedding_kernel,left_only,289,0,801.109,0.0,0.013079,0.0,-0.013079
exp_func_kernel_rank_1,left_only,990,0,1672.11,0.0,0.027299,0.0,-0.027299
fill_scalar_kernel,left_only,779,0,858.593,0.0,0.014017,0.0,-0.014017
full_func_scalar_kernel_rank_1,left_only,198,0,191.55,0.0,0.003127,0.0,-0.003127
fused_moe_kernel,both,23120,23120,1949891.769,2020917.338,31.833558,28.239057,-3.594501
fused_recurrent_gated_delta_rule_packed_decode_kernel,right_only,0,7680,0.0,328545.636,0.0,4.590895,4.590895
fused_sigmoid_gating_delta_rule_update_kernel,both,960,960,26288.418,26267.386,0.42918,0.367044,-0.062135
gt_func_scalar_kernel_rank_1,left_only,99,0,102.815,0.0,0.001679,0.0,-0.001679
kernel_unified_attention,left_only,2890,0,837970.2,0.0,13.68054,0.0,-13.68054
masked_fill_kernel_kernel_rank_2,left_only,289,0,1218.094,0.0,0.019886,0.0,-0.019886
masked_fill_kernel_kernel_rank_4,left_only,990,0,3085.316,0.0,0.05037,0.0,-0.05037
memcpy32_post,both,20480,10240,25063.345,13058.938,0.409179,0.182478,-0.226702
mm_kernel_general_host_tma,left_only,31790,0,806077.443,0.0,13.159865,0.0,-13.159865
moe_align_block_size_stage1,left_only,11360,0,28130.414,0.0,0.459252,0.0,-0.459252
moe_align_block_size_stage2_vec,left_only,11360,0,38194.014,0.0,0.623548,0.0,-0.623548
moe_align_block_size_stage3,left_only,11360,0,16245.546,0.0,0.265222,0.0,-0.265222
moe_align_block_size_stage4,left_only,11360,0,35699.719,0.0,0.582827,0.0,-0.582827
moe_sum_kernel,left_only,10240,0,24518.231,0.0,0.40028,0.0,-0.40028
mul_broadcast_2d_kernel,left_only,11560,0,48519.245,0.0,0.792116,0.0,-0.792116
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),both,289,289,22784.339,23629.965,0.371973,0.330191,-0.041782
nvjet_tst_128x128_64x6_2x1_v_bz_TNT,both,1280,1280,25951.552,25895.453,0.42368,0.361847,-0.061833
nvjet_tst_128x160_64x5_2x1_v_bz_TNT,both,40,40,780.686,787.027,0.012745,0.010997,-0.001748
nvjet_tst_128x64_64x8_1x2_h_bz_TNT,both,40,40,517.323,520.974,0.008446,0.00728,-0.001166
nvjet_tst_128x80_64x8_1x2_h_bz_TNT,both,40,40,583.882,590.922,0.009532,0.008257,-0.001275
nvjet_tst_16x64_64x16_2x1_v_bz_TNN,right_only,0,30,0.0,226.79,0.0,0.003169,0.003169
nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,right_only,0,310,0.0,63484.831,0.0,0.887098,0.887098
nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,right_only,0,950,0.0,260943.89,0.0,3.64627,3.64627
nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT,both,2520,3830,56485.043,176737.868,0.922164,2.469626,1.547462
nvjet_tst_256x160_64x4_1x2_h_bz_coopA_TNT,both,40,110,557.485,7903.87,0.009101,0.110444,0.101342
nvjet_tst_256x16_64x6_2x1_v_bz_TNT,both,8,8,1398.01,1394.78,0.022824,0.01949,-0.003334
nvjet_tst_256x24_64x6_2x1_v_bz_TNT,both,8,8,1412.574,1407.007,0.023061,0.019661,-0.003401
nvjet_tst_256x32_64x5_2x1_v_bz_TNT,both,8,8,1416.414,1414.747,0.023124,0.019769,-0.003355
nvjet_tst_256x40_64x5_2x1_v_bz_TNT,both,8,8,1432.541,1427.484,0.023387,0.019947,-0.003441
nvjet_tst_256x48_64x5_2x1_v_bz_TNT,both,8,8,1439.005,1438.43,0.023493,0.0201,-0.003393
nvjet_tst_256x56_64x5_2x1_v_bz_TNT,both,8,8,1450.076,1441.279,0.023674,0.02014,-0.003534
nvjet_tst_256x8_64x6_2x1_v_bz_TNT,both,9,9,1543.646,1538.881,0.025201,0.021503,-0.003698
nvjet_tst_320x64_64x4_2x1_v_bz_TNT,both,232,232,42466.321,42566.519,0.693297,0.594798,-0.098499
nvjet_tst_32x64_64x16_1x2_h_bz_TNN,right_only,0,930,0.0,15237.067,0.0,0.212913,0.212913
nvjet_tst_32x64_64x16_1x4_h_bz_TNN,right_only,0,30,0.0,255.267,0.0,0.003567,0.003567
nvjet_tst_64x16_64x16_4x1_v_bz_TNT,right_only,0,160,0.0,1736.291,0.0,0.024262,0.024262
nvjet_tst_64x16_64x16_4x2_h_bz_TNT,both,320,640,1162.965,3174.853,0.018986,0.044363,0.025377
nvjet_tst_64x32_64x16_4x1_v_bz_TNT,right_only,0,320,0.0,3554.906,0.0,0.049674,0.049674
nvjet_tst_64x32_64x16_4x2_h_bz_TNT,both,9560,19120,35572.168,100466.544,0.580744,1.403858,0.823113
