operator_name,presence,left_kernel_type_count,right_kernel_type_count,left_shape_dtype_variant_count,right_shape_dtype_variant_count,left_event_count,right_event_count,left_time_us,right_time_us,left_percent,right_percent,percent_point_delta
_C::silu_and_mul,right_only,0,1,0,3,0,1320,0.0,53947.526,0.0,0.75383,0.75383
_C_cache_ops::reshape_and_cache_flash,right_only,0,1,0,3,0,330,0.0,6796.213,0.0,0.094966,0.094966
_C_custom_ar::all_reduce,both,1,1,34,34,256,256,1543.715,10230.451,0.025202,0.142954,0.117752
_moe_C::moe_align_block_size,right_only,0,2,0,3,0,2640,0.0,44780.813,0.0,0.62574,0.62574
_moe_C::topk_softmax,right_only,0,1,0,3,0,1320,0.0,32520.47,0.0,0.454421,0.454421
_vllm_fa3_C::fwd,right_only,0,1,0,33,0,330,0.0,74048.264,0.0,1.034705,1.034705
_vllm_fa3_C::get_scheduler_metadata,right_only,0,3,0,38,0,289,0.0,533.982,0.0,0.007462,0.007462
aten::_index_put_impl_,both,1,1,3,3,990,990,5263.715,5194.348,0.085934,0.072583,-0.013352
aten::add,both,1,2,101,101,578,578,681.926,789.55,0.011133,0.011033,-0.0001
aten::argmax,both,1,1,64,64,289,289,19174.313,9649.229,0.313036,0.134832,-0.178204
aten::bitwise_not,both,1,3,3,3,990,990,1235.537,1571.044,0.020171,0.021953,0.001782
aten::cat,both,1,2,64,64,1920,1920,30227.492,23203.63,0.493488,0.324233,-0.169255
aten::copy_,both,5,5,390,390,7591,7591,39717.414,39928.504,0.648419,0.557936,-0.090482
aten::embedding,left_only,1,0,37,0,289,0,801.109,0.0,0.013079,0.0,-0.013079
aten::exp,both,1,1,33,33,990,990,1672.11,1877.127,0.027299,0.02623,-0.001069
aten::fill_,both,1,5,112,160,579,1396,536.176,1372.389,0.008754,0.019177,0.010423
aten::full,left_only,1,0,1,0,198,0,191.55,0.0,0.003127,0.0,-0.003127
aten::gather,right_only,0,1,0,28,0,280,0.0,875.03,0.0,0.012227,0.012227
aten::gt,both,1,1,33,33,99,99,102.815,133.855,0.001679,0.00187,0.000192
aten::index,both,3,3,28,28,1585,1585,5524.535,5554.155,0.090192,0.07761,-0.012582
aten::index_select,right_only,0,1,0,9,0,9,0.0,51.679,0.0,0.000722,0.000722
aten::masked_fill_,both,2,2,40,40,1279,1279,4303.41,5615.594,0.070257,0.078469,0.008212
aten::mm,both,18,22,88,88,9199,9199,708419.633,628893.165,11.565523,8.787767,-2.777756
aten::mul,both,1,1,3,3,1320,1320,28236.465,58272.243,0.460983,0.814261,0.353277
aten::scatter_,both,1,1,17,17,17,17,24.642,31.203,0.000402,0.000436,3.4e-05
aten::sigmoid,both,1,1,3,3,1320,1320,1634.484,2406.925,0.026684,0.033633,0.006949
aten::sub,both,2,5,102,102,2119,2119,2143.829,2330.115,0.035,0.03256,-0.00244
aten::sum,right_only,0,1,0,3,0,1320,0.0,149792.439,0.0,2.093107,2.093107
aten::zero_,left_only,1,0,3,0,1320,0,13989.133,0.0,0.228384,0.0,-0.228384
aten::zeros,left_only,1,0,1,0,2640,0,2572.746,0.0,0.042002,0.0,-0.042002
null,both,46,49,1,1,328668,288374,2792882.759,2862162.837,45.596067,39.994105,-5.601962
record_param_comms,both,1,1,64,64,289,289,22784.339,23629.965,0.371973,0.330191,-0.041782
symm_mem::two_shot_all_reduce_,both,1,1,3,3,1353,1353,149158.942,815362.472,2.43514,11.393374,8.958234
triton_per_fused_1,both,1,1,3,3,990,990,35276.213,35261.702,0.575913,0.492725,-0.083187
triton_poi_fused_0,both,1,1,9,9,1320,1320,20165.113,20686.235,0.329212,0.289057,-0.040155
triton_poi_fused_2,both,1,1,3,3,33,33,48.609,45.09,0.000794,0.00063,-0.000164
triton_poi_fused_3,both,1,1,3,3,297,297,412.396,412.037,0.006733,0.005758,-0.000975
triton_poi_fused_5,both,1,1,6,6,990,990,7654.455,7663.464,0.124965,0.107085,-0.017881
triton_poi_fused_7,both,1,1,3,3,330,330,10922.181,10916.593,0.178313,0.152542,-0.025772
triton_poi_fused___and_____or___add_bitwise_not_ge_lt_mul_sub_0,left_only,1,0,36,0,288,0,333.489,0.0,0.005444,0.0,-0.005444
triton_poi_fused___and_____or___add_ge_lt_mul_sub_0,left_only,1,0,1,0,1,0,1.185,0.0,1.9e-05,0.0,-1.9e-05
triton_poi_fused___and_____or___bitwise_not_ge_lt_1,left_only,1,0,1,0,1,0,1.056,0.0,1.7e-05,0.0,-1.7e-05
triton_poi_fused__to_copy__unsafe_view_add_clone_linear_mean_mul_pow_rsqrt_silu_view_2,left_only,1,0,3,0,990,0,20615.07,0.0,0.336558,0.0,-0.336558
