operator_name,kernel_name,variant_index,mapping_status,input_shapes,input_dtypes,candidate_operators,kernel_event_count,kernel_time_us
vllm::moe_forward_shared,fused_moe_kernel,1,operator_shape_matched,"[[64,2048],[64,2048],[64,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,17760,1069258.239
vllm::moe_forward_shared,fused_moe_kernel,2,operator_shape_matched,"[[8192,2048],[8192,2048],[8192,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,2480,758616.684
vllm::moe_forward_shared,fused_moe_kernel,3,operator_shape_matched,"[[5089,2048],[5089,2048],[5089,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,17828.304
vllm::moe_forward_shared,fused_moe_kernel,4,operator_shape_matched,"[[4096,2048],[4096,2048],[4096,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,15403.005
vllm::moe_forward_shared,fused_moe_kernel,5,operator_shape_matched,"[[63,2048],[63,2048],[63,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,160,9770.469
vllm::moe_forward_shared,fused_moe_kernel,6,operator_shape_matched,"[[62,2048],[62,2048],[62,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4864.358
vllm::moe_forward_shared,fused_moe_kernel,7,operator_shape_matched,"[[60,2048],[60,2048],[60,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4820.767
vllm::moe_forward_shared,fused_moe_kernel,8,operator_shape_matched,"[[52,2048],[52,2048],[52,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4592.762
vllm::moe_forward_shared,fused_moe_kernel,9,operator_shape_matched,"[[56,2048],[56,2048],[56,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4564.633
vllm::moe_forward_shared,fused_moe_kernel,10,operator_shape_matched,"[[54,2048],[54,2048],[54,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4532.923
vllm::moe_forward_shared,fused_moe_kernel,11,operator_shape_matched,"[[58,2048],[58,2048],[58,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4521.34
vllm::moe_forward_shared,fused_moe_kernel,12,operator_shape_matched,"[[50,2048],[50,2048],[50,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4401.692
vllm::moe_forward_shared,fused_moe_kernel,13,operator_shape_matched,"[[48,2048],[48,2048],[48,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4140.505
vllm::moe_forward_shared,fused_moe_kernel,14,operator_shape_matched,"[[42,2048],[42,2048],[42,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4131.379
vllm::moe_forward_shared,fused_moe_kernel,15,operator_shape_matched,"[[40,2048],[40,2048],[40,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4092.338
vllm::moe_forward_shared,fused_moe_kernel,16,operator_shape_matched,"[[44,2048],[44,2048],[44,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4090.382
vllm::moe_forward_shared,fused_moe_kernel,17,operator_shape_matched,"[[46,2048],[46,2048],[46,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4014.578
vllm::moe_forward_shared,fused_moe_kernel,18,operator_shape_matched,"[[34,2048],[34,2048],[34,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,4002.353
vllm::moe_forward_shared,fused_moe_kernel,19,operator_shape_matched,"[[32,2048],[32,2048],[32,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,3932.016
vllm::moe_forward_shared,fused_moe_kernel,20,operator_shape_matched,"[[38,2048],[38,2048],[38,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,3889.72
vllm::moe_forward_shared,fused_moe_kernel,21,operator_shape_matched,"[[36,2048],[36,2048],[36,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,3754.665
vllm::moe_forward_shared,fused_moe_kernel,22,operator_shape_matched,"[[26,2048],[26,2048],[26,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,3655.345
vllm::moe_forward_shared,fused_moe_kernel,23,operator_shape_matched,"[[28,2048],[28,2048],[28,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,3540.556
vllm::moe_forward_shared,fused_moe_kernel,24,operator_shape_matched,"[[30,2048],[30,2048],[30,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,3522.053
vllm::moe_forward_shared,fused_moe_kernel,25,operator_shape_matched,"[[24,2048],[24,2048],[24,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,3443.272
vllm::moe_forward_shared,fused_moe_kernel,26,operator_shape_matched,"[[22,2048],[22,2048],[22,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,3362.083
vllm::moe_forward_shared,fused_moe_kernel,27,operator_shape_matched,"[[20,2048],[20,2048],[20,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,3095.262
vllm::moe_forward_shared,fused_moe_kernel,28,operator_shape_matched,"[[18,2048],[18,2048],[18,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,2852.38
vllm::moe_forward_shared,fused_moe_kernel,29,operator_shape_matched,"[[16,2048],[16,2048],[16,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,2751.955
vllm::moe_forward_shared,fused_moe_kernel,30,operator_shape_matched,"[[14,2048],[14,2048],[14,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,2621.651
vllm::moe_forward_shared,fused_moe_kernel,31,operator_shape_matched,"[[12,2048],[12,2048],[12,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,2303.698
vllm::moe_forward_shared,fused_moe_kernel,32,operator_shape_matched,"[[10,2048],[10,2048],[10,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,2155.464
vllm::moe_forward_shared,fused_moe_kernel,33,operator_shape_matched,"[[8,2048],[8,2048],[8,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,1910.413
vllm::moe_forward_shared,fused_moe_kernel,34,operator_shape_matched,"[[6,2048],[6,2048],[6,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,1746.435
vllm::moe_forward_shared,fused_moe_kernel,35,operator_shape_matched,"[[4,2048],[4,2048],[4,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,1360.22
vllm::moe_forward_shared,fused_moe_kernel,36,operator_shape_matched,"[[2,2048],[2,2048],[2,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,857.241
vllm::moe_forward_shared,fused_moe_kernel,37,operator_shape_matched,"[[1,2048],[1,2048],[1,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,714.568
vllm::unified_attention_with_output,kernel_unified_attention,1,operator_shape_matched,"[[8192,8,256],[8192,1,256],[8192,1,256],[8192,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,310,561189.477
vllm::unified_attention_with_output,kernel_unified_attention,2,operator_shape_matched,"[[64,8,256],[64,1,256],[64,1,256],[64,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,2220,233082.995
vllm::unified_attention_with_output,kernel_unified_attention,3,operator_shape_matched,"[[5089,8,256],[5089,1,256],[5089,1,256],[5089,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,13351.985
vllm::unified_attention_with_output,kernel_unified_attention,4,operator_shape_matched,"[[4096,8,256],[4096,1,256],[4096,1,256],[4096,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,9337.949
vllm::unified_attention_with_output,kernel_unified_attention,5,operator_shape_matched,"[[63,8,256],[63,1,256],[63,1,256],[63,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,20,2108.555
vllm::unified_attention_with_output,kernel_unified_attention,6,operator_shape_matched,"[[62,8,256],[62,1,256],[62,1,256],[62,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,1041.173
vllm::unified_attention_with_output,kernel_unified_attention,7,operator_shape_matched,"[[60,8,256],[60,1,256],[60,1,256],[60,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,1023.7
vllm::unified_attention_with_output,kernel_unified_attention,8,operator_shape_matched,"[[58,8,256],[58,1,256],[58,1,256],[58,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,1008.02
vllm::unified_attention_with_output,kernel_unified_attention,9,operator_shape_matched,"[[56,8,256],[56,1,256],[56,1,256],[56,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,990.611
vllm::unified_attention_with_output,kernel_unified_attention,10,operator_shape_matched,"[[54,8,256],[54,1,256],[54,1,256],[54,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,985.331
vllm::unified_attention_with_output,kernel_unified_attention,11,operator_shape_matched,"[[52,8,256],[52,1,256],[52,1,256],[52,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,970.386
vllm::unified_attention_with_output,kernel_unified_attention,12,operator_shape_matched,"[[50,8,256],[50,1,256],[50,1,256],[50,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,961.332
vllm::unified_attention_with_output,kernel_unified_attention,13,operator_shape_matched,"[[48,8,256],[48,1,256],[48,1,256],[48,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,950.1
vllm::unified_attention_with_output,kernel_unified_attention,14,operator_shape_matched,"[[46,8,256],[46,1,256],[46,1,256],[46,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,936.275
vllm::unified_attention_with_output,kernel_unified_attention,15,operator_shape_matched,"[[44,8,256],[44,1,256],[44,1,256],[44,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,921.521
vllm::unified_attention_with_output,kernel_unified_attention,16,operator_shape_matched,"[[42,8,256],[42,1,256],[42,1,256],[42,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,893.907
vllm::unified_attention_with_output,kernel_unified_attention,17,operator_shape_matched,"[[40,8,256],[40,1,256],[40,1,256],[40,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,864.402
vllm::unified_attention_with_output,kernel_unified_attention,18,operator_shape_matched,"[[38,8,256],[38,1,256],[38,1,256],[38,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,835.533
vllm::unified_attention_with_output,kernel_unified_attention,19,operator_shape_matched,"[[36,8,256],[36,1,256],[36,1,256],[36,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,813.838
vllm::unified_attention_with_output,kernel_unified_attention,20,operator_shape_matched,"[[34,8,256],[34,1,256],[34,1,256],[34,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,775.699
vllm::unified_attention_with_output,kernel_unified_attention,21,operator_shape_matched,"[[32,8,256],[32,1,256],[32,1,256],[32,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,550.892
vllm::unified_attention_with_output,kernel_unified_attention,22,operator_shape_matched,"[[30,8,256],[30,1,256],[30,1,256],[30,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,526.155
vllm::unified_attention_with_output,kernel_unified_attention,23,operator_shape_matched,"[[28,8,256],[28,1,256],[28,1,256],[28,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,507.243
