operator_name,kernel_name,variant_index,mapping_status,input_shapes,input_dtypes,candidate_operators,kernel_event_count,kernel_time_us
null,fused_moe_kernel,1,missing_external_id,null,null,null,20480,1148495.556
vllm::moe_forward_shared,fused_moe_kernel,2,operator_shape_matched,"[[8192,2048],[8192,2048],[8192,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,2480,767663.299
vllm::moe_forward_shared,fused_moe_kernel,3,operator_shape_matched,"[[5089,2048],[5089,2048],[5089,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,18096.309
vllm::moe_forward_shared,fused_moe_kernel,4,operator_shape_matched,"[[4096,2048],[4096,2048],[4096,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,15636.605
vllm::unified_attention_with_output,kernel_unified_attention,1,operator_shape_matched,"[[8192,8,256],[8192,1,256],[8192,1,256],[8192,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,310,561734.031
null,kernel_unified_attention,2,missing_external_id,null,null,null,2560,253443.733
vllm::unified_attention_with_output,kernel_unified_attention,3,operator_shape_matched,"[[5089,8,256],[5089,1,256],[5089,1,256],[5089,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,13408.502
vllm::unified_attention_with_output,kernel_unified_attention,4,operator_shape_matched,"[[4096,8,256],[4096,1,256],[4096,1,256],[4096,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,9383.934
aten::mm,mm_kernel_general_host_tma,1,operator_shape_matched,"[[8192,2048],[2048,6144],[8192,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,930,295301.825
null,mm_kernel_general_host_tma,2,missing_external_id,null,null,null,28160,258830.279
