operator_name,kernel_name,variant_index,mapping_status,input_shapes,input_dtypes,candidate_operators,kernel_event_count,kernel_time_us
null,fused_moe_kernel,1,missing_external_id,null,null,null,20400,1178304.606
vllm::moe_forward_shared,fused_moe_kernel,2,operator_shape_matched,"[[8192,2048],[8192,2048],[8192,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,2480,767799.609
vllm::moe_forward_shared,fused_moe_kernel,3,operator_shape_matched,"[[4096,2048],[4096,2048],[4096,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,15613.827
vllm::moe_forward_shared,fused_moe_kernel,4,operator_shape_matched,"[[4097,2048],[4097,2048],[4097,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,15606.972
vllm::moe_forward_shared,fused_moe_kernel,5,operator_shape_matched,"[[1025,2048],[1025,2048],[1025,2048],[],[],[]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""",""Scalar""]",null,80,9510.949
vllm::unified_attention_with_output,kernel_unified_attention,1,operator_shape_matched,"[[8192,8,256],[8192,1,256],[8192,1,256],[8192,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,310,561474.936
null,kernel_unified_attention,2,missing_external_id,null,null,null,2550,252821.152
vllm::unified_attention_with_output,kernel_unified_attention,3,operator_shape_matched,"[[4097,8,256],[4097,1,256],[4097,1,256],[4097,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,9328.863
vllm::unified_attention_with_output,kernel_unified_attention,4,operator_shape_matched,"[[4096,8,256],[4096,1,256],[4096,1,256],[4096,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,9302.655
vllm::unified_attention_with_output,kernel_unified_attention,5,operator_shape_matched,"[[1025,8,256],[1025,1,256],[1025,1,256],[1025,8,256],[],[],[],[0]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16"","""","""","""",""c10::BFloat16""]",null,10,5420.941
aten::mm,mm_kernel_general_host_tma,1,operator_shape_matched,"[[8192,2048],[2048,6144],[8192,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,930,295764.462
null,mm_kernel_general_host_tma,2,missing_external_id,null,null,null,28050,257711.659
aten::mm,mm_kernel_general_host_tma,3,operator_shape_matched,"[[8192,2048],[2048,2048],[8192,2048]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,1240,139133.539
aten::mm,mm_kernel_general_host_tma,4,operator_shape_matched,"[[8192,2048],[2048,4608],[8192,4608]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,310,75823.061
aten::mm,mm_kernel_general_host_tma,5,operator_shape_matched,"[[8192,2048],[2048,32],[8192,32]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,930,17151.378
aten::mm,mm_kernel_general_host_tma,6,operator_shape_matched,"[[4097,2048],[2048,6144],[4097,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,5513.26
aten::mm,mm_kernel_general_host_tma,7,operator_shape_matched,"[[4096,2048],[2048,6144],[4096,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,4862.18
aten::mm,mm_kernel_general_host_tma,8,operator_shape_matched,"[[4097,2048],[2048,2048],[4097,2048]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,40,2584.918
aten::mm,mm_kernel_general_host_tma,9,operator_shape_matched,"[[4096,2048],[2048,2048],[4096,2048]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,40,2139.818
aten::mm,mm_kernel_general_host_tma,10,operator_shape_matched,"[[1025,2048],[2048,6144],[1025,6144]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,1672.256
aten::mm,mm_kernel_general_host_tma,11,operator_shape_matched,"[[4097,2048],[2048,4608],[4097,4608]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,10,1403.805
aten::mm,mm_kernel_general_host_tma,12,operator_shape_matched,"[[4096,2048],[2048,4608],[4096,4608]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,10,1235.608
aten::mm,mm_kernel_general_host_tma,13,operator_shape_matched,"[[1025,2048],[2048,2048],[1025,2048]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,40,851.44
aten::mm,mm_kernel_general_host_tma,14,operator_shape_matched,"[[1025,2048],[2048,4608],[1025,4608]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,10,406.761
aten::mm,mm_kernel_general_host_tma,15,operator_shape_matched,"[[4097,2048],[2048,32],[4097,32]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,311.846
aten::mm,mm_kernel_general_host_tma,16,operator_shape_matched,"[[4096,2048],[2048,32],[4096,32]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,293.066
aten::mm,mm_kernel_general_host_tma,17,operator_shape_matched,"[[1025,2048],[2048,32],[1025,32]]","[""c10::BFloat16"",""c10::BFloat16"",""c10::BFloat16""]",null,30,186.312
